         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.026    0.026 GL_1_1.py:1(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:18(<module>)
        1    0.000    0.000    0.025    0.025 __init__.py:22(_load)
5892/2946    0.018    0.000    0.024    0.000 constant.py:14(__new__)
        3    0.022    0.007    0.024    0.008 sre_compile.py:302(_optimize_unicode)
        1    0.000    0.000    0.023    0.023 GUI.py:257(<listcomp>)
        1    0.004    0.004    0.021    0.021 win32.py:1(<module>)
        1    0.002    0.002    0.020    0.020 __init__.py:7(<module>)
        1    0.009    0.009    0.019    0.019 GL_1_0.py:1(<module>)
       51    0.001    0.000    0.018    0.000 sre_parse.py:693(parse)
        1    0.004    0.004    0.018    0.018 __init__.py:45(<module>)
   147/51    0.001    0.000    0.016    0.000 sre_parse.py:309(_parse_sub)
        1    0.004    0.004    0.016    0.016 npyio.py:1(<module>)
        1    0.006    0.006    0.016    0.016 GL_4_2.py:9(<module>)
   171/56    0.006    0.000    0.016    0.000 sre_parse.py:387(_parse)
        1    0.009    0.009    0.016    0.016 separate_shader_objects.py:84(<module>)
94176/94014    0.015    0.000    0.015    0.000 {built-in method len}
      147    0.001    0.000    0.015    0.000 win32.py:109(constructFunction)
        1    0.013    0.013    0.014    0.014 __init__.py:88(<module>)
        1    0.001    0.001    0.014    0.014 framebuffer_object.py:274(<module>)
        1    0.005    0.005    0.014    0.014 GL_3_2.py:9(<module>)
    81705    0.014    0.000    0.014    0.000 ctypespointers.py:18(from_param)
      253    0.003    0.000    0.014    0.000 baseplatform.py:132(constructFunction)
        1    0.001    0.001    0.014    0.014 GL_1_0.py:9(<module>)
        1    0.002    0.002    0.013    0.013 images.py:14(<module>)
        1    0.010    0.010    0.013    0.013 __init__.py:38(<module>)
        1    0.001    0.001    0.013    0.013 vertex_program.py:58(<module>)
     6730    0.009    0.000    0.013    0.000 {built-in method hasattr}
    82826    0.013    0.000    0.013    0.000 nones.py:30(asArray)
        1    0.003    0.003    0.013    0.013 main.py:97(<listcomp>)
        1    0.006    0.006    0.013    0.013 numeric.py:1(<module>)
    83144    0.013    0.000    0.013    0.000 ctypespointers.py:48(asArray)
     1188    0.005    0.000    0.012    0.000 wrapper.py:254(setPyConverter)
    80266    0.012    0.000    0.012    0.000 nones.py:24(dataPointer)
   105910    0.012    0.000    0.012    0.000 {built-in method sqrt}
        1    0.002    0.002    0.012    0.012 GL_1_3.py:9(<module>)
       48    0.011    0.000    0.012    0.000 lazywrapper.py:20(wrap)
        1    0.004    0.004    0.011    0.011 platform.py:10(<module>)
       18    0.001    0.000    0.011    0.001 GUI.py:125(__init__)
        1    0.002    0.002    0.011    0.011 GL_1_2.py:9(<module>)
      217    0.002    0.000    0.011    0.000 wrapper.py:124(setOutput)
    39696    0.011    0.000    0.011    0.000 {built-in method isinstance}
        1    0.003    0.003    0.011    0.011 _datasource.py:33(<module>)
        1    0.002    0.002    0.010    0.010 GL_2_0.py:9(<module>)
       49    0.000    0.000    0.010    0.000 images.py:575(typedImageFunction)
        1    0.000    0.000    0.010    0.010 pkg_resources.py:735(subscribe)
