         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      357    0.001    0.000    0.001    0.000 GUI.py:670(inCircle)
      165    0.001    0.000    0.001    0.000 converters.py:200(oldStyleReturn)
        1    0.000    0.000    0.001    0.001 tessellation_shader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vertex_buffer_object.py:1(<module>)
        1    0.001    0.001    0.001    0.001 fragment_layer_viewport.py:22(<module>)
        1    0.001    0.001    0.001    0.001 message.py:124(Message)
        2    0.001    0.000    0.001    0.000 {built-in method tostring}
        1    0.000    0.000    0.001    0.001 GL_3_1.py:1(<module>)
      317    0.001    0.000    0.001    0.000 arrayhelpers.py:102(asArrayTypeSize)
        1    0.001    0.001    0.001    0.001 texture_cube_map_array.py:37(<module>)
        7    0.000    0.000    0.001    0.000 pkg_resources.py:1486(_has)
        1    0.001    0.001    0.001    0.001 compute_shader.py:47(<module>)
        1    0.001    0.001    0.001    0.001 shader_bit_encoding.py:17(<module>)
        1    0.001    0.001    0.001    0.001 stencil_texturing.py:17(<module>)
       20    0.001    0.000    0.001    0.000 sre_compile.py:259(_mk_bitmap)
      324    0.000    0.000    0.001    0.000 random.py:165(randrange)
        7    0.000    0.000    0.001    0.000 genericpath.py:15(exists)
       46    0.000    0.000    0.001    0.000 vertex_shader.py:12(_f)
       10    0.000    0.000    0.001    0.000 wrapper.py:474(calculate_cArguments)
       12    0.000    0.000    0.001    0.000 GL_4_2.py:12(_f)
        2    0.000    0.000    0.001    0.000 converters.py:307(stringArrayForC)
        1    0.000    0.000    0.001    0.001 numpymodule.py:6(<module>)
        1    0.001    0.001    0.001    0.001 map_buffer_range.py:36(<module>)
       10    0.000    0.000    0.001    0.000 pkg_resources.py:2475(insert_on)
        1    0.001    0.001    0.001    0.001 texture_view.py:38(<module>)
        1    0.000    0.000    0.001    0.001 shader_image_load_store.py:54(<module>)
        1    0.001    0.001    0.001    0.001 occlusion_query2.py:18(<module>)
        1    0.000    0.000    0.001    0.001 multi_draw_indirect.py:23(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1395(get_metadata_lines)
        1    0.001    0.001    0.001    0.001 provoking_vertex.py:38(<module>)
        1    0.000    0.000    0.001    0.001 texture_storage_multisample.py:23(<module>)
        1    0.000    0.000    0.001    0.001 uniform_buffer_object.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gpu_shader_fp64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1390(get_metadata)
        9    0.001    0.000    0.001    0.000 {built-in method dir}
       47    0.000    0.000    0.001    0.000 ntpath.py:108(join)
      198    0.001    0.000    0.001    0.000 ctypesloader.py:50(buildFunction)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:2558(DistInfoDistribution)
        1    0.000    0.000    0.001    0.001 ES2_compatibility.py:15(<module>)
        1    0.000    0.000    0.001    0.001 transform_feedback2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:17(<module>)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
        1    0.001    0.001    0.001    0.001 blend_func_extended.py:25(<module>)
        1    0.000    0.000    0.001    0.001 transform_feedback_instanced.py:22(<module>)
        1    0.000    0.000    0.001    0.001 GL_3_2.py:1(<module>)
     3709    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 GL_1_5.py:1(<module>)
       47    0.000    0.000    0.001    0.000 GL_1_4.py:12(_f)
        7    0.000    0.000    0.001    0.000 sync.py:12(_f)
        1    0.001    0.001    0.001    0.001 texture_gather.py:18(<module>)
        1    0.000    0.000    0.001    0.001 pkg_resources.py:1498(_get)
        1    0.000    0.000    0.001    0.001 zipfile.py:420(_ZipDecrypter)
        1    0.001    0.001    0.001    0.001 __init__.py:173(<module>)
        1    0.000    0.000    0.001    0.001 constants.py:4(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
        1    0.000    0.000    0.001    0.001 tess.py:12(GLUtesselator)
        1    0.001    0.001    0.001    0.001 zipfile.py:433(_GenerateCRCTable)
        1    0.001    0.001    0.001    0.001 arrays_of_arrays.py:101(<module>)
        1    0.000    0.000    0.001    0.001 _iotools.py:3(<module>)
       19    0.000    0.000    0.001    0.000 nosetester.py:140(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5997(getdoc)
       32    0.000    0.000    0.001    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.001    0.001 warnings.py:1(<module>)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        1    0.000    0.000    0.001    0.001 draw_elements_base_vertex.py:66(<module>)
        6    0.000    0.000    0.001    0.000 vertex_attrib_binding.py:12(_f)
        1    0.000    0.000    0.001    0.001 texture_buffer_range.py:1(<module>)
        1    0.001    0.001    0.001    0.001 robust_buffer_access_behavior.py:21(<module>)
        1    0.000    0.000    0.001    0.001 shader_atomic_counters.py:51(<module>)
        1    0.000    0.000    0.001    0.001 draw_indirect.py:23(<module>)
        1    0.000    0.000    0.001    0.001 geometry_shader4.py:1(<module>)
        1    0.001    0.001    0.001    0.001 copy_image.py:30(<module>)
      126    0.000    0.000    0.001    0.000 ntpath.py:84(normcase)
        1    0.000    0.000    0.001    0.001 _endian.py:1(<module>)
       20    0.000    0.000    0.001    0.000 pkg_resources.py:2263(__init__)
      259    0.000    0.000    0.001    0.000 wrapper.py:347(setReturnValues)
        1    0.000    0.000    0.001    0.001 get_program_binary.py:32(<module>)
        1    0.000    0.000    0.001    0.001 baseplatform.py:2(<module>)
      298    0.000    0.000    0.001    0.000 arrayhelpers.py:88(asArrayType)
       18    0.000    0.000    0.001    0.000 gpu_shader_fp64.py:12(_f)
        2    0.000    0.000    0.001    0.000 abc.py:116(__new__)
       51    0.000    0.000    0.001    0.000 sre_parse.py:180(__init__)
        7    0.000    0.000    0.001    0.000 transform_feedback2.py:12(_f)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vertex_attrib_64bit.py:1(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      361    0.000    0.000    0.001    0.000 random.py:216(_randbelow)
        1    0.001    0.001    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        4    0.000    0.000    0.001    0.000 texture_multisample.py:12(_f)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.001    0.001 conservative_depth.py:25(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:1(<module>)
      116    0.001    0.000    0.001    0.000 baseplatform.py:103(errorChecking)
        1    0.000    0.000    0.001    0.001 enhanced_layouts.py:109(<module>)
       47    0.000    0.000    0.001    0.000 images.py:431(setDimensionsAsInts)
        1    0.001    0.001    0.001    0.001 explicit_attrib_location.py:18(<module>)
        1    0.000    0.000    0.001    0.001 gpu_shader5.py:90(<module>)
       54    0.000    0.000    0.001    0.000 vbo.py:154(__init__)
        1    0.000    0.000    0.001    0.001 framebuffer_no_attachments.py:56(<module>)
       84    0.000    0.000    0.001    0.000 pkg_resources.py:2035(_normalize_cached)
        1    0.000    0.000    0.001    0.001 GUI.py:420(initObjectBuffers)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
        6    0.000    0.000    0.001    0.000 invalidate_subdata.py:12(_f)
        1    0.000    0.000    0.001    0.001 _glgets.py:1(<module>)
       11    0.000    0.000    0.000    0.000 vertex_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 GL_4_4.py:1(<module>)
        1    0.000    0.000    0.000    0.000 converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:51(<module>)
       47    0.000    0.000    0.000    0.000 ntpath.py:100(isabs)
        1    0.000    0.000    0.000    0.000 win32.py:31(GLU)
       38    0.000    0.000    0.000    0.000 re.py:163(sub)
        1    0.000    0.000    0.000    0.000 shader_image_load_store.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_storage.py:31(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
       22    0.000    0.000    0.000    0.000 debug.py:12(_f)
      266    0.000    0.000    0.000    0.000 {built-in method add_docstring}
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        1    0.000    0.000    0.000    0.000 texture_query_lod.py:16(<module>)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:2031(normalize_path)
        1    0.000    0.000    0.000    0.000 fragment_shader.py:23(<module>)
        1    0.000    0.000    0.000    0.000 program_interface_query.py:1(<module>)
      161    0.000    0.000    0.000    0.000 ctypesparameters.py:101(asArray)
        6    0.000    0.000    0.000    0.000 GL_2_1.py:12(_f)
      629    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      926    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1610    0.000    0.000    0.000    0.000 main.py:107(<lambda>)
       20    0.000    0.000    0.000    0.000 pkg_resources.py:1137(safe_name)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
        1    0.000    0.000    0.000    0.000 viewport_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formathandler.py:4(<module>)
        1    0.000    0.000    0.000    0.000 sampler_objects.py:1(<module>)
      130    0.000    0.000    0.000    0.000 sre_compile.py:356(_simple)
        1    0.000    0.000    0.000    0.000 extensions.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       19    0.000    0.000    0.000    0.000 GL_1_5.py:12(_f)
        1    0.000    0.000    0.000    0.000 shader_storage_buffer_object.py:1(<module>)
      542    0.000    0.000    0.000    0.000 sre_parse.py:140(append)
      316    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       94    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 shaders.py:95(check_validate)
       19    0.000    0.000    0.000    0.000 GL_3_2.py:12(_f)
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:32(<module>)
       12    0.000    0.000    0.000    0.000 GL_3_1.py:12(_f)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 texture_swizzle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 texture_storage_multisample.py:1(<module>)
       69    0.000    0.000    0.000    0.000 sre_parse.py:233(_class_escape)
        1    0.000    0.000    0.000    0.000 transform_feedback3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:29(<module>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      103    0.000    0.000    0.000    0.000 sre_parse.py:265(_escape)
       10    0.000    0.000    0.000    0.000 vertex_attrib_64bit.py:12(_f)
      130    0.000    0.000    0.000    0.000 __init__.py:206(_acquireLock)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:16(<module>)
      120    0.000    0.000    0.000    0.000 __init__.py:1219(debug)
        1    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:1(<module>)
        8    0.000    0.000    0.000    0.000 wrapper.py:394(finaliseCall)
      878    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      167    0.000    0.000    0.000    0.000 converters.py:235(getSize)
        1    0.000    0.000    0.000    0.000 GUI.py:391(<listcomp>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 GL_1_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compute_shader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy_buffer.py:1(<module>)
       54    0.000    0.000    0.000    0.000 vbo.py:207(set_array)
        1    0.000    0.000    0.000    0.000 provoking_vertex.py:1(<module>)
       31    0.000    0.000    0.000    0.000 pkgutil.py:363(get_importer)
        1    0.000    0.000    0.000    0.000 base_instance.py:1(<module>)
        2    0.000    0.000    0.000    0.000 texture_storage_multisample.py:12(_f)
       14    0.000    0.000    0.000    0.000 sampler_objects.py:12(_f)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:17(<module>)
      220    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        7    0.000    0.000    0.000    0.000 uniform_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {built-in method compile}
        1    0.000    0.000    0.000    0.000 functools.py:139(decorating_function)
        1    0.000    0.000    0.000    0.000 texture_cube_map_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vertex_array_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_range.py:1(<module>)
       14    0.000    0.000    0.000    0.000 py3k.py:28(asbytes)
        1    0.000    0.000    0.000    0.000 timer_query.py:1(<module>)
      970    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       48    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
      121    0.000    0.000    0.000    0.000 __init__.py:1473(isEnabledFor)
       51    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        9    0.000    0.000    0.000    0.000 pkg_resources.py:1447(_fn)
        4    0.000    0.000    0.000    0.000 transform_feedback3.py:12(_f)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:1(<module>)
      268    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
     1812    0.000    0.000    0.000    0.000 {built-in method sin}
        1    0.000    0.000    0.000    0.000 _arrayconstants.py:1(<module>)
        2    0.000    0.000    0.000    0.000 os.py:465(__setitem__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 texture_view.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
        2    0.000    0.000    0.000    0.000 {built-in method open}
      488    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 collections.py:40(__init__)
      481    0.000    0.000    0.000    0.000 sre_parse.py:128(__len__)
        4    0.000    0.000    0.000    0.000 geometry_shader4.py:12(_f)
        1    0.000    0.000    0.000    0.000 symbol.py:3(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:1145(_fixupParents)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
       10    0.000    0.000    0.000    0.000 viewport_array.py:12(_f)
        1    0.000    0.000    0.000    0.000 GUI.py:375(<listcomp>)
        1    0.000    0.000    0.000    0.000 ES2_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_range.py:12(_f)
        1    0.000    0.000    0.000    0.000 texture_rgb10_a2ui.py:1(<module>)
        1    0.000    0.000    0.000    0.000 clear_buffer_object.py:1(<module>)
        9    0.000    0.000    0.000    0.000 GL_4_4.py:12(_f)
        2    0.000    0.000    0.000    0.000 {built-in method putenv}
        2    0.000    0.000    0.000    0.000 GL_2_0.py:379(glGetUniformLocation)
      129    0.000    0.000    0.000    0.000 _bytes.py:47(as_8_bit)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
      334    0.000    0.000    0.000    0.000 ntpath.py:44(_get_sep)
        1    0.000    0.000    0.000    0.000 compressed_texture_pixel_storage.py:1(<module>)
       20    0.000    0.000    0.000    0.000 pkg_resources.py:536(add)
        1    0.000    0.000    0.000    0.000 blend_func_extended.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:493(update)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 occlusion_query2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shader_atomic_counters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:158(__instancecheck__)
        1    0.000    0.000    0.000    0.000 glunurbs.py:30(GLUnurbs)
        1    0.000    0.000    0.000    0.000 quadrics.py:1(<module>)
        9    0.000    0.000    0.000    0.000 converters.py:42(finalise)
      366    0.000    0.000    0.000    0.000 converters.py:130(__init__)
        3    0.000    0.000    0.000    0.000 base_instance.py:12(_f)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_reset_cache)
      7/1    0.000    0.000    0.000    0.000 abc.py:174(__subclasscheck__)
       20    0.000    0.000    0.000    0.000 ntpath.py:299(splitext)
      111    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       83    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 draw_indirect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi_draw_indirect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 tessellation_shader.py:12(_f)
       15    0.000    0.000    0.000    0.000 __init__.py:1201(__init__)
        2    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:12(_f)
        3    0.000    0.000    0.000    0.000 timer_query.py:12(_f)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        4    0.000    0.000    0.000    0.000 vertex_array_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 error.py:9(<module>)
     1881    0.000    0.000    0.000    0.000 {built-in method abs}
        6    0.000    0.000    0.000    0.000 program_interface_query.py:12(_f)
      664    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 lazywrapper.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method access}
       24    0.000    0.000    0.000    0.000 sre_parse.py:224(isname)
        1    0.000    0.000    0.000    0.000 ES3_compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 win32.py:19(Win32Platform)
      130    0.000    0.000    0.000    0.000 __init__.py:215(_releaseLock)
        1    0.000    0.000    0.000    0.000 texture_buffer_object_rgb32.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:1(<module>)
    36/30    0.000    0.000    0.000    0.000 {built-in method issubclass}
      157    0.000    0.000    0.000    0.000 extensions.py:216(__init__)
        3    0.000    0.000    0.000    0.000 pointers.py:196(glDrawElementsTyped)
      130    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
      138    0.000    0.000    0.000    0.000 ntpath.py:56(_get_bothseps)
       29    0.000    0.000    0.000    0.000 os.py:461(__getitem__)
        1    0.000    0.000    0.000    0.000 strings.py:2(<module>)
        8    0.000    0.000    0.000    0.000 plugins.py:61(match)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       27    0.000    0.000    0.000    0.000 {built-in method all}
        2    0.000    0.000    0.000    0.000 wrapper.py:94(__nonzero__)
        1    0.000    0.000    0.000    0.000 get_program_binary.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:209(get_provider)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
       16    0.000    0.000    0.000    0.000 pkg_resources.py:1837(find_distributions)
      590    0.000    0.000    0.000    0.000 {built-in method chr}
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        2    0.000    0.000    0.000    0.000 clear_buffer_object.py:12(_f)
       37    0.000    0.000    0.000    0.000 main.py:15(__init__)
        1    0.000    0.000    0.000    0.000 texture_storage.py:1(<module>)
        2    0.000    0.000    0.000    0.000 map_buffer_range.py:12(_f)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
       83    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 numeric.py:353(<listcomp>)
       48    0.000    0.000    0.000    0.000 images.py:523(<listcomp>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 draw_elements_base_vertex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vbo.py:32(<module>)
      102    0.000    0.000    0.000    0.000 sre_compile.py:469(isstring)
        1    0.000    0.000    0.000    0.000 framebuffer_no_attachments.py:1(<module>)
        1    0.000    0.000    0.000    0.000 projection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:112(_add2path)
        9    0.000    0.000    0.000    0.000 datetime.py:317(__new__)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1465(__init__)
      375    0.000    0.000    0.000    0.000 {built-in method sizeof}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:924(resource_exists)
        2    0.000    0.000    0.000    0.000 blend_func_extended.py:12(_f)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:2484(<listcomp>)
       70    0.000    0.000    0.000    0.000 pkg_resources.py:2331(key)
     1800    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       51    0.000    0.000    0.000    0.000 sre_parse.py:681(fix_flags)
        1    0.000    0.000    0.000    0.000 copy_image.py:1(<module>)
        2    0.000    0.000    0.000    0.000 multi_draw_indirect.py:12(_f)
      121    0.000    0.000    0.000    0.000 __init__.py:1459(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 copy_buffer.py:12(_f)
        2    0.000    0.000    0.000    0.000 images.py:451(__call__)
       27    0.000    0.000    0.000    0.000 collections.py:359(<genexpr>)
        1    0.000    0.000    0.000    0.000 GUI.py:411(<listcomp>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:940(resource_stream)
        1    0.000    0.000    0.000    0.000 nones.py:2(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:954(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        5    0.000    0.000    0.000    0.000 ES2_compatibility.py:12(_f)
       31    0.000    0.000    0.000    0.000 pkg_resources.py:2435(__getattr__)
        1    0.000    0.000    0.000    0.000 ctypespointers.py:2(<module>)
        1    0.000    0.000    0.000    0.000 texture_gather.py:1(<module>)
      171    0.000    0.000    0.000    0.000 ntpath.py:50(_get_altsep)
        1    0.000    0.000    0.000    0.000 pickle.py:781(_Unpickler)
      257    0.000    0.000    0.000    0.000 quoprimime.py:56(<genexpr>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
      199    0.000    0.000    0.000    0.000 collections.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 ctypesparameters.py:2(<module>)
        1    0.000    0.000    0.000    0.000 logs.py:6(<module>)
        1    0.000    0.000    0.000    0.000 os.py:39(<listcomp>)
        1    0.000    0.000    0.000    0.000 provoking_vertex.py:12(_f)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 shader_precision.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shader_bit_encoding.py:1(<module>)
        2    0.000    0.000    0.000    0.000 compute_shader.py:12(_f)
       37    0.000    0.000    0.000    0.000 random.py:246(choice)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2860(_initialize)
        2    0.000    0.000    0.000    0.000 abc.py:119(<setcomp>)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:12(_f)
       41    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 draw_indirect.py:12(_f)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 shader_storage_buffer_object.py:12(_f)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
       20    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 zipfile.py:704(ZipFile)
      181    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 gpu_shader5.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:5(<module>)
        6    0.000    0.000    0.000    0.000 strings.py:10(dataPointer)
        8    0.000    0.000    0.000    0.000 wrapper.py:416(<listcomp>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        4    0.000    0.000    0.000    0.000 GL_1_2.py:12(_f)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1469(_setup_prefix)
        1    0.000    0.000    0.000    0.000 enhanced_layouts.py:1(<module>)
      163    0.000    0.000    0.000    0.000 ntpath.py:68(_get_colon)
      116    0.000    0.000    0.000    0.000 ntpath.py:38(_get_empty)
       23    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        1    0.000    0.000    0.000    0.000 glustruct.py:1(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
        8    0.000    0.000    0.000    0.000 latebind.py:17(setFinalCall)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2259(Distribution)
        3    0.000    0.000    0.000    0.000 texture_storage.py:12(_f)
      161    0.000    0.000    0.000    0.000 ctypesparameters.py:31(from_param)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        4    0.000    0.000    0.000    0.000 draw_elements_base_vertex.py:12(_f)
       24    0.000    0.000    0.000    0.000 {built-in method calcsize}
        1    0.000    0.000    0.000    0.000 texture_view.py:12(_f)
        2    0.000    0.000    0.000    0.000 images.py:61(setupDefaultTransferMode)
        2    0.000    0.000    0.000    0.000 converters.py:292(__call__)
        3    0.000    0.000    0.000    0.000 get_program_binary.py:12(_f)
      127    0.000    0.000    0.000    0.000 ntpath.py:62(_get_dot)
        1    0.000    0.000    0.000    0.000 plugins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        3    0.000    0.000    0.000    0.000 baseplatform.py:249(checkExtension)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:1(<module>)
       35    0.000    0.000    0.000    0.000 images.py:463(__init__)
       18    0.000    0.000    0.000    0.000 pkg_resources.py:1145(safe_version)
        4    0.000    0.000    0.000    0.000 numpymodule.py:178(from_param)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       37    0.000    0.000    0.000    0.000 wrapper.py:337(setStoreValues)
        2    0.000    0.000    0.000    0.000 getlimits.py:244(__init__)
        1    0.000    0.000    0.000    0.000 case.py:205(TestCase)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:1(<module>)
      111    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       25    0.000    0.000    0.000    0.000 wrapper.py:104(pyArgIndex)
       96    0.000    0.000    0.000    0.000 __init__.py:128(WinFunctionType)
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
        1    0.000    0.000    0.000    0.000 _opaque.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrapper.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _abcoll.py:357(get)
        1    0.000    0.000    0.000    0.000 _iotools.py:155(LineSplitter)
       10    0.000    0.000    0.000    0.000 __init__.py:176(environ_key)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
